Частотный анализ:
'2' : '0.12061068702290076'
'К' : '0.09312977099236641'
'Ь' : '0.0916030534351145'
't' : '0.07022900763358779'
'Ы' : '0.06259541984732825'
'r' : '0.061068702290076333'
'Д' : '0.061068702290076333'
'>' : '0.0549618320610687'
'О' : '0.05343511450381679'
'<' : '0.03969465648854962'
'Б' : '0.02748091603053435'
'Й' : '0.025954198473282442'
'Я' : '0.024427480916030534'
'1' : '0.024427480916030534'
'Ч' : '0.021374045801526718'
' ' : '0.01984732824427481'
'
' : '0.01984732824427481'
'М' : '0.0183206106870229'
'0' : '0.0183206106870229'
'Х' : '0.010687022900763359'
'А' : '0.010687022900763359'
'a' : '0.010687022900763359'
'Л' : '0.00916030534351145'
'8' : '0.007633587786259542'
'Е' : '0.007633587786259542'
'c' : '0.007633587786259542'
'3' : '0.0061068702290076335'
',' : '0.0061068702290076335'
'.' : '0.004580152671755725'
'b' : '0.004580152671755725'
'9' : '0.0030534351145038168'
'Ф' : '0.0015267175572519084'
'?' : '0.0015267175572519084'
