"bin","scheme","type"
"546972","MASTERCARD","credit"
"547932","MASTERCARD","credit"
"427448","VISA","credit"
"548422","MASTERCARD","credit"
"547927","MASTERCARD","credit"
"547959","MASTERCARD","credit"
"547976","MASTERCARD","credit"
"547998","MASTERCARD","credit"
"548440","MASTERCARD","credit"
"548454","MASTERCARD","credit"
"548438","MASTERCARD","credit"
"548425","MASTERCARD","credit"
"547940","MASTERCARD","credit"
"547925","MASTERCARD","credit"
"546916","MASTERCARD","credit"
"527576","MASTERCARD","credit"
"547910","MASTERCARD","credit"
"548498","MASTERCARD","credit"
"548420","MASTERCARD","credit"
"547966","MASTERCARD","credit"
"547969","MASTERCARD","credit"
"547938","MASTERCARD","credit"
"545037","MASTERCARD","credit"
"546922","MASTERCARD","credit"
"547928","MASTERCARD","credit"
"548472","MASTERCARD","credit"
"546901","MASTERCARD","credit"
"547942","MASTERCARD","credit"
"546920","MASTERCARD","credit"
"547948","MASTERCARD","credit"
"548430","MASTERCARD","credit"
"548459","MASTERCARD","credit"
"547922","MASTERCARD","credit"
"547947","MASTERCARD","credit"
"548405","MASTERCARD","credit"
"546966","MASTERCARD","credit"
"546935","MASTERCARD","credit"
"546925","MASTERCARD","credit"
"548410","MASTERCARD","credit"
"548442","MASTERCARD","credit"
"548468","MASTERCARD","credit"
"548435","MASTERCARD","credit"
"547930","MASTERCARD","credit"
"546974","MASTERCARD","credit"
"548401","MASTERCARD","credit"
"548447","MASTERCARD","credit"
"547935","MASTERCARD","credit"
"531310","MASTERCARD","credit"
"547920","MASTERCARD","credit"
"548466","MASTERCARD","credit"
"548476","MASTERCARD","credit"
"427601","VISA","credit"
"546959","MASTERCARD","credit"
"547901","MASTERCARD","credit"
"515842","MASTERCARD","credit"
"547972","MASTERCARD","credit"
"548416","MASTERCARD","credit"
"547949","MASTERCARD","credit"
"543942","MASTERCARD","credit"
"547905","MASTERCARD","credit"
"546998","MASTERCARD","credit"
"427901","VISA","credit"
